@ 7200 IN SOA sufe-1 root 2015042810 360 360 360000 7200
@ 7200 IN MX 10 mail
@ 7200 IN NS stmail
yz 7200 IN A 202.121.138.56
trend 7200 IN A 202.121.129.109
fin 7200 IN AAAA 2001:da8:800d:129::196
fin 7200 IN A 202.121.129.196
xsc 7200 IN A 202.121.129.148
ocw 7200 IN AAAA 2001:da8:800d:6::73
ocw 7200 IN A 202.121.129.73
sclibrary 7200 IN A 202.121.135.24
sa 7200 IN AAAA 2001:da8:800d:1::80
sa 7200 IN A 202.121.138.68
stmail 7200 IN A 202.121.138.5
byz 7200 IN A 202.121.138.56
se 7200 IN AAAA 2001:da8:800d:1::80
se 7200 IN A 202.121.138.68
sf 7200 IN AAAA 2001:da8:800d:1::80
sf 7200 IN A 202.121.138.68
stuapply 7200 IN AAAA 2001:da8:800d:16::144
stuapply 7200 IN A 202.121.129.144
sh 7200 IN AAAA 2001:da8:800d:1::80
sh 7200 IN A 202.121.138.68
wjgl 7200 IN A 202.121.138.49
sj 7200 IN AAAA 2001:da8:800d:1::80
sj 7200 IN A 202.121.138.68
fld 7200 IN AAAA 2001:da8:800d:129::203
fld 7200 IN A 202.121.129.203
sl 7200 IN AAAA 2001:da8:800d:1::80
sl 7200 IN A 202.121.138.68
sm 7200 IN A 202.121.138.68
sm 7200 IN AAAA 2001:da8:800d:1::80
xjb 7200 IN A 202.121.129.186
log 7200 IN A 103.224.22.60
eviews 7200 IN A 202.121.138.103
researchguides 7200 IN A 75.126.221.51
room 7200 IN AAAA 2001:da8:800d:50::12
room 7200 IN A 219.220.155.11
xlcs 7200 IN A 202.121.129.195
asdb 7200 IN A 202.121.142.38
statistics 7200 IN AAAA 2001:da8:800d:1::80
statistics 7200 IN A 202.121.138.68
sz 7200 IN A 202.121.138.56
ditu 7200 IN A 202.121.138.56
sce1 7200 IN AAAA 2001:da8:800d:1::80
sce1 7200 IN A 202.121.138.68
iipe 7200 IN AAAA 2001:da8:800d:16::176
iipe 7200 IN A 202.121.129.176
xlcs2014 7200 IN A 202.121.142.17
xxb 7200 IN AAAA 2001:da8:800d:1::80
xxb 7200 IN A 202.121.138.68
kms3 7200 IN A 202.121.129.157
eams 7200 IN A 202.121.138.56
newsasserver 7200 IN A 202.121.129.16
gsgl 7200 IN AAAA 2001:da8:800d:6::103
gsgl 7200 IN A 202.121.129.103
tuanwei 7200 IN AAAA 2001:da8:800d:1::80
tuanwei 7200 IN A 202.121.138.68
daily 7200 IN MX 0 mx.sendcloud.org.
daily 7200 IN TXT "v=spf1 include:spf.sendcloud.org ~all"
7200 IN TXT "sendcloud-site-verification=e1bad80d-f260-4212-a799-4b427d483f82-1388980163655"
cfri 7200 IN A 202.121.129.79
sctrack.daily 7200 IN CNAME track.sendcloud.org.
xg 7200 IN A 202.121.138.56
meeting 7200 IN A 202.121.138.56
sztz 7200 IN A 202.121.129.95
coboa 7200 IN A 202.121.142.164
bb2 7200 IN A 27.115.42.141
qzlx 7200 IN A 202.121.129.186
xq 7200 IN A 202.121.129.186
vpn 7200 IN A 27.115.42.142
finapp 7200 IN A 10.2.29.123
sufe-1 7200 IN A 202.121.138.1
xz 7200 IN AAAA 2001:da8:800d:1::80
xz 7200 IN A 202.121.138.68
sasserver 7200 IN A 202.121.129.168
login 7200 IN A 202.121.138.56
newoa 7200 IN A 202.121.142.20
minmeng 7200 IN A 202.121.129.87
ezlibrary 7200 IN A 202.121.138.34
zs 7200 IN A 202.121.129.86
jjxypeixun 7200 IN AAAA 2001:da8:800d:6::87
jjxypeixun 7200 IN A 202.121.129.87
sctrack.message 7200 IN CNAME track.sendcloud.org.
service 7200 IN A 202.121.129.88
businesschinese 7200 IN AAAA 2001:da8:800d:6::96
businesschinese 7200 IN A 202.121.129.96
tzx 7200 IN A 202.121.129.9
ippg 7200 IN A 202.121.129.43
mail._domainkey.message 7200 IN TXT "k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDBOoekPZMY8YrqVaHYLo0UJkH+puasqWmNzuGPmxafS1+WWth4NGKHak0JeY/B2sT2oxvUWUdauKK24Mx3IezefLvBOUh/VoUGR9etrhdL6Ja5U4Dju5UED5p8fcxoWcazn/3COTtwyndmR12/KxKna2VcdqxPAimd3slYFbgP+QIDAQAB"
mpa 7200 IN A 202.121.129.9
ths 7200 IN A 202.121.129.75
board 7200 IN A 202.121.129.165
shufedb 7200 IN A 202.121.142.37
ssd 7200 IN A 202.121.129.186
hfrc 7200 IN A 202.121.138.56
yingxin 7200 IN A 202.121.138.56
video 7200 IN A 202.121.129.146
spea 7200 IN AAAA 2001:da8:800d:1::80
spea 7200 IN A 202.121.138.68
oid_test 7200 IN A 192.168.138.80
sso 7200 IN A 202.121.142.15
wireless 7200 IN AAAA 2001:da8:800d:1::101
wireless 7200 IN A 202.121.138.101
sufe-route_re 7200 IN A 202.121.139.5
ieco 7200 IN A 202.121.138.68
ieco 7200 IN AAAA 2001:da8:800d:1::80
chaosuan 7200 IN A 202.121.129.16
sp 7200 IN A 202.121.138.132
www1 7200 IN A 202.121.138.60
bbs 7200 IN A 202.121.142.82
gcms 7200 IN A 202.121.142.81
stu 7200 IN A 202.121.138.56
appltest 7200 IN A 10.2.29.132
newstu 7200 IN A 202.121.138.56
tijiaobu 7200 IN A 202.121.129.206
infra 7200 IN A 202.121.142.15
gov 7200 IN AAAA 2001:da8:800d:16::177
gov 7200 IN A 202.121.129.177
survey 7200 IN A 202.121.142.17
mvls_win7 7200 IN AAAA 2001:da8:800d:6::88
mvls_win7 7200 IN A 202.121.129.123
zhaopin 7200 IN A 202.121.138.56
top500 7200 IN AAAA 2001:da8:800d:1::80
top500 7200 IN A 202.121.138.68
ams 7200 IN A 202.121.142.17
iptv 7200 IN A 202.121.129.89
iptv 7200 IN AAAA 2001:da8:800d:6::89
portal_test 7200 IN A 192.168.138.81
mail03 7200 IN CNAME stumail
face 7200 IN A 202.121.138.56
iaf 7200 IN AAAA 2001:da8:800d:1::80
iaf 7200 IN A 202.121.138.68
sports 7200 IN AAAA 2001:da8:800d:1::80
sports 7200 IN A 202.121.138.68
iba 7200 IN A 202.121.129.19
cidi 7200 IN A 202.121.138.68
cidi 7200 IN AAAA 2001:da8:800d:1::80
charge 7200 IN A 202.121.142.16
iar 7200 IN AAAA 2001:da8:800d:1::80
iar 7200 IN A 202.121.138.68
klme 7200 IN A 202.121.138.68
klme 7200 IN AAAA 2001:da8:800d:1::80
zikao 7200 IN AAAA 2001:da8:800d:16::176
zikao 7200 IN A 202.121.129.176
dept 7200 IN A 202.121.129.87
wsbm 7200 IN A 202.121.138.56
cicftz 7200 IN A 202.121.129.185
rcas 7200 IN AAAA 2001:da8:800d:1::80
rcas 7200 IN A 202.121.138.68
vpn2 7200 IN A 27.115.42.138
iec 7200 IN AAAA 2001:da8:800d:1::80
iec 7200 IN A 202.121.138.68
idp 7200 IN A 202.121.129.212
mail 7200 IN TXT "v=spf1 ip4:202.121.138.8 ip4:202.121.138.31 ip4:202.121.138.32 ip4:27.115.42.167 ip6:2001:da8:800d:1::4 -all"
mail 7200 IN MX 10 mail
mail 7200 IN A 202.121.138.8
mail 7200 IN AAAA 2001:da8:800d:1::4
ife 7200 IN AAAA 2001:da8:800d:1::80
ife 7200 IN A 202.121.138.68
vpnapply 7200 IN AAAA 2001:da8:800d:6:214:c2ff:fe3b:aab6
vpnapply 7200 IN A 202.121.129.90
mail._domainkey.daily 7200 IN TXT "k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDqyYJxo+Cu18H2Z+ZhKAJZWG+QP/04LCkHPeKcsBQ6wIFC06wgjWR5k8o+Lb5QaHNAG78Nzsfs9+qz0kGvG5Wdzu+50nV8Pq7E/vUN/oZVULKACgHn8b9CWJp82FP4j0yiqZAodscmUSmO4nRXPSRcbYgLQ49klE6a4bU8iogTNwIDAQAB"
oid 7200 IN A 202.121.142.15
im1 7200 IN A 202.121.142.1
im2 7200 IN A 202.121.142.2
findev 7200 IN A 202.121.142.51
xsqk 7200 IN A 202.121.138.56
oalib 7200 IN A 202.121.135.9
tableeau 7200 IN A 202.121.142.17
ftp2 7200 IN A 202.121.129.84
fintest 7200 IN A 202.121.142.51
mstr 7200 IN A 202.121.142.81
iclass 7200 IN A 202.121.129.83
imba 7200 IN A 202.121.129.41
pay 7200 IN A 202.121.138.49
stl 7200 IN A 202.121.129.95
cet 7200 IN AAAA 2001:da8:800d:1::80
cet 7200 IN A 202.121.138.68
ssot 7200 IN A 192.168.138.80
citicup 7200 IN A 202.121.129.79
cpfi 7200 IN A 202.121.138.68
cpfi 7200 IN AAAA 2001:da8:800d:1::80
wesufe 7200 IN A 202.121.129.132
sstbi 7200 IN A 202.121.138.56
usercenter 7200 IN A 202.121.129.15
netedu 7200 IN A 202.121.132.191
gongkai 7200 IN AAAA 2001:da8:800d:1::80
gongkai 7200 IN A 202.121.138.68
myuni 7200 IN MX 10 mail.myuni
exam 7200 IN A 202.121.142.17
info 7200 IN A 202.121.129.95
portal3 7200 IN A 202.121.138.56
fpaper 7200 IN AAAA 2001:da8:800d:129::198
fpaper 7200 IN A 202.121.129.198
xly 7200 IN A 202.121.138.56
sufe-cernet-gateway 7200 IN A 202.121.138.250
tableau 7200 IN A 202.121.142.81
jdh 7200 IN A 202.121.142.16
acct-lab 7200 IN A 10.2.6.251
sas 7200 IN A 202.121.138.102
portal 7200 IN A 202.121.142.81
shufe-58 7200 IN A 202.121.138.68
shufedb_test 7200 IN A 192.168.138.90
www.lib 7200 IN A 202.121.135.18
siifc 7200 IN A 202.121.129.196
besx 7200 IN A 202.121.129.239
fina1 7200 IN A 202.121.142.16
dmd.statistics 7200 IN A 219.220.142.41
finlab 7200 IN AAAA 2001:da8:800d:129::199
finlab 7200 IN A 202.121.129.199
sime 7200 IN A 202.121.129.149
cbxt 7200 IN A 202.121.142.66
waplibrary 7200 IN A 202.121.135.4
cob 7200 IN A 202.121.129.41
yjs 7200 IN A 202.121.129.186
viewcs.v 7200 IN A 10.2.28.21
ptl1 7200 IN A 202.121.142.3
ptl2 7200 IN A 202.121.142.4
ccrc 7200 IN A 202.121.129.80
wap 7200 IN A 202.121.138.8
dfl 7200 IN A 202.121.129.203
jre 7200 IN A 202.121.129.96
opaclibrary 7200 IN A 202.121.138.56
www.fin 7200 IN A 202.121.129.196
sceic 7200 IN AAAA 2001:da8:800d:16::176
sceic 7200 IN A 202.121.129.176
portalt 7200 IN A 192.168.138.81
icourse 7200 IN A 202.121.142.164
ceair 7200 IN A 202.121.138.49
rtx 7200 IN A 202.121.129.37
rmb 7200 IN A 202.121.129.197
fund 7200 IN A 202.121.129.165
crm 7200 IN A 202.121.142.163
www.top500scl 7200 IN A 202.121.135.19
wechat 7200 IN A 202.121.129.143
yzblt 7200 IN A 202.121.138.49
uaslibrary 7200 IN A 202.121.138.49
lab 7200 IN A 202.121.129.216
message 7200 IN MX 0 mx.sendcloud.org.
message 7200 IN TXT "v=spf1 include:spf.sendcloud.org ~all"
7200 IN TXT "sendcloud-site-verification=e1bad80d-f260-4212-a799-4b427d483f82-1388980163655"
icmi2010 7200 IN A 202.121.129.79
healthcare 7200 IN A 202.121.138.56
wsus 7200 IN AAAA 2001:da8:800d:6::106
wsus 7200 IN A 202.121.129.106
xk 7200 IN A 202.121.142.81
bb 7200 IN A 27.115.42.145
news 7200 IN AAAA 2001:da8:800d:6::92
news 7200 IN A 202.121.129.92
sufe-route_lo 7200 IN A 202.121.139.6
ao 7200 IN A 202.121.138.56
course 7200 IN AAAA 2001:da8:800d:6::126
course 7200 IN A 202.121.129.126
teaching 7200 IN A 202.121.138.102
degree 7200 IN A 202.121.138.56
rsarchives 7200 IN A 202.121.138.56
xsh 7200 IN A 202.121.129.95
xdh 7200 IN A 202.121.129.165
chifl 7200 IN AAAA 2001:da8:800d:1::80
chifl 7200 IN A 202.121.138.68
alumni 7200 IN A 202.121.138.56
dtrm 7200 IN AAAA 2001:da8:800d:1::80
dtrm 7200 IN A 202.121.138.68
edp 7200 IN AAAA 2001:da8:800d:16::177
edp 7200 IN A 202.121.129.177
data 7200 IN A 202.121.129.45
rsws 7200 IN AAAA 2001:da8:800d:1::80
rsws 7200 IN A 202.121.138.68
shengxiang 7200 IN A 202.121.142.16
emba 7200 IN A 202.121.129.41
fina 7200 IN A 202.121.142.29
dm 7200 IN AAAA 2001:da8:800d:1::80
dm 7200 IN A 202.121.138.68
career 7200 IN AAAA 2001:da8:800d:6::111
career 7200 IN A 202.121.129.111
cx 7200 IN A 202.121.129.216
training 7200 IN AAAA 2001:da8:800d:16::177
training 7200 IN A 202.121.129.177
jwsj 7200 IN AAAA 2001:da8:800d:1::80
jwsj 7200 IN A 202.121.138.68
infra_test 7200 IN A 192.168.138.80
golden 7200 IN A 202.121.129.41
mvls 7200 IN AAAA 2001:da8:800d:1::106
mvls 7200 IN A 202.121.138.106
dx 7200 IN AAAA 2001:da8:800d:1::80
dx 7200 IN A 202.121.138.68
jsj 7200 IN A 202.121.129.186
