@ 600 IN SOA sonata hostmaster 2015033100 3600 1800 604800 3600
@ 600 IN MX 5 poczta188
600 IN MX 10 poczta
213b-ADM-1 600 IN A 195.187.82.71
310-NHJO-1 600 IN A 195.187.82.144
jmp 600 IN CNAME kanon
ignis6 600 IN AAAA 2a00:1488:81::1
fb 600 IN A 195.187.82.250
suita4 600 IN A 195.187.82.250
suita6 600 IN AAAA 2a00:1488:81::2
homar 600 IN A 195.187.82.11
kf 600 IN CNAME lokomotywa
223-BIBLIO-1 600 IN A 195.187.82.93
223-BIBLIO-2 600 IN A 195.187.82.94
223-BIBLIO-3 600 IN A 195.187.82.95
krewetka 600 IN A 195.187.82.12
netra 600 IN A 195.187.82.4
netra 600 IN AAAA 2a00:1488:81::203:baff:fe16:4905
irk 3600 IN A 193.0.115.64
wagon 600 IN A 195.187.82.237
200lat 600 IN CNAME lokomotywa
406-KPM-1 600 IN A 195.187.82.112
406-KPM-2 600 IN A 195.187.82.159
wifi-02 600 IN A 195.187.82.15
allied-225101080159 600 IN A 195.187.82.244
read.studio 600 IN A 195.187.82.233
k2 600 IN CNAME suita
moo 600 IN CNAME suita
dynamic-216 600 IN A 195.187.82.216
308-W5-1 600 IN A 195.187.82.75
kantata3 600 IN A 195.187.82.249
kantata2 600 IN A 195.187.82.253
dynamic-44 600 IN A 195.187.82.44
