@ 38400 IN SOA mailsvr carlosangel\@usantotomas.edu.co. 1269375195 10800 3600 604800 38400
@ 38400 IN NS mailsvr
horarioSAC 38400 IN CNAME svrwebOCI8
bienestaruniversitario 38400 IN CNAME portalweb2
hades 38400 IN A 181.48.62.75
especializaciongerenciaempresarial 38400 IN CNAME portalweb2
revistas 38400 IN A 190.145.116.53
morfeo 38400 IN A 172.16.1.126
unidaddeposgrados 38400 IN CNAME portalweb2
proyeccionsocial 38400 IN CNAME portalweb2
especializacionredesdatos 38400 IN CNAME portalweb2
eleccionesfderecho 38400 IN CNAME web
civil 38400 IN CNAME portalweb2
moodleconsulta 38400 IN A 190.145.116.31
ezproxy2 38400 IN A 190.145.116.21
web_service 38400 IN CNAME web
soporte_si 38400 IN CNAME web
campus 38400 IN CNAME portalweb2
evalmedellin 38400 IN CNAME web
evalvillavicencio 38400 IN CNAME web
revistaiusta 38400 IN CNAME revistas
snies 38400 IN A 190.145.116.14
cuerpoculturaymovimiento 38400 IN CNAME revistas
remoto 38400 IN CNAME web
espaciosfisicos 38400 IN CNAME lucas
encuestaclaboral 38400 IN CNAME web
unidadinvestigacion 38400 IN CNAME portalweb2
gestion_editorial 38400 IN CNAME web
moodle20131 38400 IN CNAME moodle131
autoevaluacionnegocios 38400 IN CNAME web
autoeval_economia 38400 IN CNAME web
biblioteca 38400 IN CNAME portalweb2
mba 38400 IN CNAME portalweb2
enc_admondeportiva 38400 IN CNAME web
mesadeayuda 38400 IN CNAME portalweb
mapaweb 38400 IN A 190.145.116.80
intekhnia 38400 IN CNAME revistas
especializacioninstrumentacionlectronica 38400 IN CNAME portalweb2
medusa 38400 IN A 172.16.1.50
dspacenew 38400 IN A 190.145.116.16
proyeteleco 38400 IN CNAME web
revistacife 38400 IN CNAME revistas
registroycontrol 38400 IN CNAME portalweb2
maestriaderechoshumanos 38400 IN CNAME portalweb2
sistemagestiondelacalidad 38400 IN CNAME portalweb2
maestriaderechocontractual 38400 IN CNAME portalweb2
froid 38400 IN A 172.16.1.11
enc_telecomunicaciones 38400 IN CNAME web
