@ 7200 IN SOA virgo hostmaster 1430540898 10800 1800 1814400 7200
@ 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
wireless-client-160-217-148-130.wa2 7200 IN A 160.217.148.130
notebookstransky.zsf 7200 IN A 160.217.201.14
VPN-160-217-129-77.vpn 7200 IN A 160.217.129.77
mod-gw 7200 IN A 160.217.1.250
formulare 7200 IN CNAME zms03
szp31.szp 7200 IN A 160.217.128.31
wireless-client-160-217-150-233.wa2 7200 IN A 160.217.150.233
justo.kam 7200 IN A 160.217.220.109
technologie1-kocour.frov 7200 IN MX 10 technologie1-kocour.frov
technologie1-kocour.frov 7200 IN A 160.217.190.170
www2.prf 7200 IN CNAME jerrymouse.prf
wireless-client-160-217-147-51.wa2 7200 IN A 160.217.147.51
k5-223-hesout00.k5 7200 IN A 160.217.228.133
eduroam-160-217-137-131.eduroam 7200 IN A 160.217.137.131
brez185.ufb 7200 IN A 160.217.215.185
VPN-160-217-131-180.vpn 7200 IN A 160.217.131.180
KolejK5-160-217-231-162.k5 7200 IN A 160.217.231.162
wireless-client-160-217-148-232.wa2 7200 IN A 160.217.148.232
KolejK5-160-217-231-66.k5 7200 IN A 160.217.231.66
k5-616-pauchb00.k5 7200 IN A 160.217.228.9
eduroam-160-217-137-35.eduroam 7200 IN A 160.217.137.35
KAM-cam14.cam 7200 IN A 160.217.94.214
NTB-stejskal.frov 7200 IN A 160.217.202.54
eduroam-160-217-136-164.eduroam 7200 IN A 160.217.136.164
leischner.pf 7200 IN A 160.217.96.157
wd3tb-randak.frov 7200 IN MX 10 wd3tb-randak.frov
wd3tb-randak.frov 7200 IN A 160.217.190.5
vystaviste-sw-5500ei-pwr-01.zsf 7200 IN A 160.217.200.249
k052520j26.zf 7200 IN A 160.217.166.81
AP10-FrovVM-3NP.wx 7200 IN A 160.217.92.60
pc1615.pf 7200 IN A 160.217.98.65
IPtel-Singer.zsf 7200 IN A 160.217.195.23
FZE-B-04020.zf 7200 IN A 160.217.163.120
FROVZF-zasedacky-160-217-170-103.frovzf 7200 IN A 160.217.170.103
A148Drskova.ff 7200 IN A 160.217.126.68
k2-422-muhovj00.k2 7200 IN A 160.217.218.80
VPN-160-217-129-240.vpn 7200 IN A 160.217.129.240
prfcs0011.prf 7200 IN A 160.217.211.101
wireless-client-160-217-146-21.wa2 7200 IN A 160.217.146.21
k5-510-slabyo00.k5 7200 IN A 160.217.229.123
wireless-client-160-217-149-250.wa2 7200 IN A 160.217.149.250
fprcs12513.prf 7200 IN A 160.217.208.213
notstuchlduk.pf 7200 IN A 160.217.120.82
notsedlak.pf 7200 IN A 160.217.120.142
fprca30413.prf 7200 IN A 160.217.211.45
VPN-160-217-129-103.vpn 7200 IN A 160.217.129.103
A450Hromada.rek 7200 IN A 160.217.155.87
szp05.szp 7200 IN A 160.217.128.5
fzs-1889.zsf 7200 IN A 160.217.200.48
fzs-1527.zsf 7200 IN A 160.217.199.67
VPN-160-217-131-206.vpn 7200 IN A 160.217.131.206
wireless-client-160-217-149-7.wa2 7200 IN A 160.217.149.7
k4-203b-prochm05.k4 7200 IN A 160.217.225.45
wireless-client-160-217-146-71.wa2 7200 IN A 160.217.146.71
KolejK5-160-217-231-67.k5 7200 IN A 160.217.231.67
wireless-client-160-217-144-239.wa2 7200 IN A 160.217.144.239
k1-412-pozlej00.k1 7200 IN A 160.217.216.36
wireless-client-160-217-144-90.wa2 7200 IN A 160.217.144.90
k4-905b-zdenkn00.k4 7200 IN A 160.217.224.213
wstag-test 7200 IN A 160.217.5.43
wireless-client-160-217-146-168.wa2 7200 IN A 160.217.146.168
iptel-4764.frov 7200 IN MX 10 iptel-4764.frov
iptel-4764.frov 7200 IN A 160.217.190.64
ucebna30.lib 7200 IN A 160.217.156.48
webserver.ufb 7200 IN A 160.217.215.2
k052520j27.zf 7200 IN A 160.217.166.82
k4-301b-raskom03.k4 7200 IN A 160.217.224.142
pc1616.pf 7200 IN A 160.217.98.66
1click.ef 7200 IN CNAME alfa.ef
IPtel-uran-Urbanova.zsf 7200 IN A 160.217.195.31
k3-608-hiessr00.k3 7200 IN A 160.217.222.250
k3-403-vocadk00.k3 7200 IN A 160.217.222.116
k2-311-neradj01.k2 7200 IN A 160.217.219.17
skener.bobik 7200 IN A 160.217.152.200
ton.prf 7200 IN A 160.217.2.24
wireless-client-160-217-148-240.wa2 7200 IN A 160.217.148.240
k2-905-kvardk01.k2 7200 IN A 160.217.218.71
VPN-160-217-129-120.vpn 7200 IN A 160.217.129.120
pc17.bobik 7200 IN A 160.217.152.67
oldhome.pf 7200 IN A 160.217.96.96
7200 IN A 160.217.96.111
t16pfjer1 7200 IN A 160.217.8.87
wireless-client-160-217-151-92.wa2 7200 IN A 160.217.151.92
hoff78.ufb 7200 IN A 160.217.215.78
k5-523-slipka01.k5 7200 IN A 160.217.229.197
franova.pf 7200 IN A 160.217.120.127
wireless-client-160-217-133-147.wa1 7200 IN A 160.217.133.147
etos.tf 7200 IN A 160.217.193.186
wireless-client-160-217-133-52.wa1 7200 IN A 160.217.133.52
t48vtp 7200 IN A 160.217.8.183
KolejK5-160-217-231-164.k5 7200 IN A 160.217.231.164
shp.prf 7200 IN CNAME jerrymouse.prf
KolejK5-160-217-231-68.k5 7200 IN A 160.217.231.68
iptel-4775.frov 7200 IN MX 10 iptel-4775.frov
iptel-4775.frov 7200 IN A 160.217.190.75
k2-909-kotlam04.k2 7200 IN A 160.217.218.14
VPN-160-217-131-84.vpn 7200 IN A 160.217.131.84
wireless-client-160-217-148-180.wa2 7200 IN A 160.217.148.180
wireless-client-160-217-145-32.wa2 7200 IN A 160.217.145.32
k052520j28.zf 7200 IN A 160.217.166.83
k2-1022-dykaly00.k2 7200 IN A 160.217.219.2
7200 IN A 160.217.219.111
A0048TiskPagePro1350.ff 7200 IN A 160.217.126.167
wireless-client-160-217-144-115.wa2 7200 IN A 160.217.144.115
001f2989c04b.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
CIT-001.zf 7200 IN A 160.217.164.150
k4-606a-padoul00.k4 7200 IN A 160.217.224.89
ZF-cam84-21.cam 7200 IN A 160.217.84.51
kut130.ufb 7200 IN A 160.217.215.130
iptel-4781.frov 7200 IN MX 10 iptel-4781.frov
iptel-4781.frov 7200 IN A 160.217.190.81
wireless-client-160-217-132-52.wa1 7200 IN A 160.217.132.52
pc1705.pf 7200 IN A 160.217.98.75
PC-udrzba-Martinek.ff 7200 IN A 160.217.126.205
wireless-client-160-217-145-82.wa2 7200 IN A 160.217.145.82
zope 7200 IN A 160.217.1.32
wireless-client-160-217-144-165.wa2 7200 IN A 160.217.144.165
cisco-academy-160-217-211-231.prf 7200 IN A 160.217.210.231
7200 IN A 160.217.211.231
wireless-client-160-217-144-243.wa2 7200 IN A 160.217.144.243
NHrady.ufb 7200 IN A 160.217.215.1
t48prfumbr 7200 IN A 160.217.8.208
FROVZF-zasedacky-160-217-170-164.frovzf 7200 IN A 160.217.170.164
wireless-client-160-217-149-104.wa2 7200 IN A 160.217.149.104
wireless-client-160-217-150-208.wa2 7200 IN A 160.217.150.208
AP5-prfP-sad-3NP.wx 7200 IN A 160.217.92.25
KolejK5-160-217-231-165.k5 7200 IN A 160.217.231.165
iptel-4786.frov 7200 IN MX 10 iptel-4786.frov
iptel-4786.frov 7200 IN A 160.217.190.86
KolejK5-160-217-231-70.k5 7200 IN A 160.217.231.70
k1-820-armando.k1 7200 IN A 160.217.216.93
wireless-client-160-217-148-206.wa2 7200 IN A 160.217.148.206
fprca30409.prf 7200 IN A 160.217.211.41
k4-803a-cimbup02.k4 7200 IN A 160.217.224.234
fzs-3001nb.zsf 7200 IN A 160.217.196.98
idkarty 7200 IN A 160.217.5.96
wireless-client-160-217-151-27.wa2 7200 IN A 160.217.151.27
A331Bezecny.ff 7200 IN A 160.217.126.67
k052520j29.zf 7200 IN A 160.217.166.84
pc1609.pf 7200 IN A 160.217.98.59
instalm 7200 IN A 160.217.1.59
eduroam-160-217-137-219.eduroam 7200 IN A 160.217.137.219
instals 7200 IN A 160.217.1.58
VPN-160-217-129-45.vpn 7200 IN A 160.217.129.45
VPN-160-217-129-153.vpn 7200 IN A 160.217.129.153
iptel-4792.frov 7200 IN MX 10 iptel-4792.frov
iptel-4792.frov 7200 IN A 160.217.190.92
wireless-client-160-217-132-63.wa1 7200 IN A 160.217.132.63
fzs-2w7-19.zsf 7200 IN A 160.217.178.68
udrzba.pf 7200 IN A 160.217.96.190
pavC-lab01.zf 7200 IN A 160.217.163.141
eduroam-160-217-136-33.eduroam 7200 IN A 160.217.136.33
wireless-client-160-217-149-234.wa2 7200 IN A 160.217.149.234
adfpr1-205.prf 7200 IN A 160.217.205.248
k2-807-hrbkoz00.k2 7200 IN A 160.217.218.43
000aeaeb300e.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
eduroam-160-217-137-162.eduroam 7200 IN A 160.217.137.162
stys.ufb 7200 IN A 160.217.215.36
k5-103-kapkon00.k5 7200 IN A 160.217.228.96
VPN-160-217-129-95.vpn 7200 IN A 160.217.129.95
wireless-client-160-217-147-120.wa2 7200 IN A 160.217.147.120
blah129.ufb 7200 IN A 160.217.215.129
iptel-4797.frov 7200 IN MX 10 iptel-4797.frov
iptel-4797.frov 7200 IN A 160.217.190.97
A2029Zahradnikova.ff 7200 IN A 160.217.126.116
pesek.pf 7200 IN A 160.217.120.194
KolejK5-160-217-231-166.k5 7200 IN A 160.217.231.166
safeq-color-tisk.zsf 7200 IN A 160.217.196.32
fprcs12531.prf 7200 IN A 160.217.208.200
eduroam-160-217-136-195.eduroam 7200 IN A 160.217.136.195
KolejK5-160-217-231-71.k5 7200 IN A 160.217.231.71
fzs-2w7-69.zsf 7200 IN A 160.217.178.119
k620a1.ef 7200 IN A 160.217.172.191
wireless-client-160-217-147-170.wa2 7200 IN A 160.217.147.170
hyperv1.ef 7200 IN A 160.217.161.199
ed-sw5-4500pwr.zsf 7200 IN A 160.217.199.245
000ae4c68f3d.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
fprpzs3011.prf 7200 IN A 160.217.214.19
tv9.pf 7200 IN A 160.217.123.29
VPN-160-217-129-170.vpn 7200 IN A 160.217.129.170
wireless-client-160-217-144-93.wa2 7200 IN A 160.217.144.93
wireless-client-160-217-150-230.wa2 7200 IN A 160.217.150.230
wireless-client-160-217-147-121.wa2 7200 IN A 160.217.147.121
buprint.kam 7200 IN A 160.217.220.239
k1-403-musilm09.k1 7200 IN A 160.217.217.20
IPtel-Gabrielova.zsf 7200 IN A 160.217.199.186
VPN-160-217-129-187.vpn 7200 IN A 160.217.129.187
wireless-client-160-217-150-107.wa2 7200 IN A 160.217.150.107
switch7.wa2 7200 IN A 160.217.151.247
cipis-bfmat.prf 7200 IN A 160.217.2.1
k2-117-korinp00.k2 7200 IN A 160.217.218.225
dhcp-pool-160-217-163-227.zf 7200 IN A 160.217.163.227
prfsw04v208.prf 7200 IN A 160.217.208.55
k2-104-hercij01.k2 7200 IN A 160.217.218.159
wireless-client-160-217-149-38.wa2 7200 IN A 160.217.149.38
axapta.ef 7200 IN A 160.217.161.41
eduroam-160-217-137-39.eduroam 7200 IN A 160.217.137.39
KolejK5-160-217-231-167.k5 7200 IN A 160.217.231.167
NTB-Tesarova.frov 7200 IN MX 10 NTB-Tesarova.frov
NTB-Tesarova.frov 7200 IN A 160.217.202.83
KolejK5-160-217-231-72.k5 7200 IN A 160.217.231.72
k620a2.ef 7200 IN A 160.217.172.192
objednavky.pf 7200 IN A 160.217.96.232
FROV-cam08.cam 7200 IN A 160.217.94.18
bfcbin1.bf 7200 IN A 160.217.205.208
k2-1005-kubikm01.k2 7200 IN A 160.217.218.99
k2-305-pelank00.k2 7200 IN A 160.217.218.22
wireless-client-160-217-151-98.wa2 7200 IN A 160.217.151.98
wireless-client-160-217-147-231.wa2 7200 IN A 160.217.147.231
FROVZF-zasedacky-160-217-170-235.frovzf 7200 IN A 160.217.170.235
wireless-client-160-217-149-88.wa2 7200 IN A 160.217.149.88
k4-509b-vithao00.k4 7200 IN A 160.217.224.195
fzs-2177.zsf 7200 IN A 160.217.199.70
ZSF-dest-160-217-199-226.zsf 7200 IN A 160.217.199.226
wireless-client-160-217-150-139.wa2 7200 IN A 160.217.150.139
fze-j-01008.zf 7200 IN A 160.217.166.99
wireless-client-160-217-146-14.wa2 7200 IN A 160.217.146.14
wireless-client-160-217-147-153.wa2 7200 IN A 160.217.147.153
ad 7200 IN NS AD1
7200 IN NS AD2
pc23.bobik 7200 IN A 160.217.152.73
wireless-client-160-217-150-19.wa2 7200 IN A 160.217.150.19
FROVZF-zasedacky-160-217-170-43.frovzf 7200 IN A 160.217.170.43
k2-820-jirsan00.k2 7200 IN A 160.217.219.61
wireless-client-160-217-144-8.wa2 7200 IN A 160.217.144.8
bf 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
7200 IN MX 12833 cx.spamfree.cz.
7200 IN MX 12849 dx.spamfree.cz.
ca 7200 IN CNAME marvin
kaft172.ufb 7200 IN A 160.217.215.172
KolejK5-160-217-231-168.k5 7200 IN A 160.217.231.168
S3.frov 7200 IN MX 10 S3.frov
S3.frov 7200 IN A 160.217.202.1
smolka.pf 7200 IN A 160.217.120.156
KolejK5-160-217-231-73.k5 7200 IN A 160.217.231.73
pc-fort.frov 7200 IN MX 10 pc-fort.frov
pc-fort.frov 7200 IN A 160.217.191.92
wireless-client-160-217-150-21.wa2 7200 IN A 160.217.150.21
k620a3.ef 7200 IN A 160.217.172.193
dhclient07-ucpf.pf 7200 IN A 160.217.98.253
eduroam-160-217-137-9.eduroam 7200 IN A 160.217.137.9
repec.ef 7200 IN CNAME web.ef
dekanat-reserve48.zf 7200 IN A 160.217.162.48
00248c14f00c.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
ef 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
7200 IN MX 12833 cx.spamfree.cz.
7200 IN MX 12849 dx.spamfree.cz.
wireless-client-160-217-150-48.wa2 7200 IN A 160.217.150.48
dog.prf 7200 IN A 160.217.2.18
ff 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
7200 IN MX 12833 cx.spamfree.cz.
7200 IN MX 12849 dx.spamfree.cz.
wireless-client-160-217-144-250.wa2 7200 IN A 160.217.144.250
kam-k4-morava.kam 7200 IN A 160.217.220.181
AP5-frovzf-1NP.wx 7200 IN A 160.217.92.65
k2-613-hlozko00.k2 7200 IN A 160.217.218.17
oradb 7200 IN A 160.217.5.21
wireless-client-160-217-145-167.wa2 7200 IN A 160.217.145.167
fprcu03001.prf 7200 IN A 160.217.211.51
A1043TiskBizhubC253.ff 7200 IN A 160.217.126.195
ssl-access 7200 IN A 160.217.1.17
wireless-client-160-217-133-9.wa1 7200 IN A 160.217.133.9
gw 7200 IN A 160.217.95.50
eduroam-160-217-136-101.eduroam 7200 IN A 160.217.136.101
mouckova.lib 7200 IN A 160.217.156.91
AxxxUcebnyVymena.ff 7200 IN A 160.217.126.86
dhcp-pool-160-217-128-247.szp 7200 IN A 160.217.128.247
k3-215-novakt12.k3 7200 IN A 160.217.222.40
dhcp-pool-160-217-121-224.pf 7200 IN A 160.217.121.224
k1-305-marekj11.k1 7200 IN A 160.217.216.109
wireless-client-160-217-145-227.wa2 7200 IN A 160.217.145.227
notanotebook.pf 7200 IN A 160.217.121.34
KolejK5-160-217-231-169.k5 7200 IN A 160.217.231.169
KolejK2-160-217-219-197.k2 7200 IN A 160.217.219.197
stuchlnotebookdell.pf 7200 IN A 160.217.121.35
ma 7200 IN CNAME fido
adfpe1.pf 7200 IN A 160.217.96.3
KolejK5-160-217-231-74.k5 7200 IN A 160.217.231.74
wireless-client-160-217-148-99.wa2 7200 IN A 160.217.148.99
k620a4.ef 7200 IN A 160.217.172.194
VPN-160-217-129-230.vpn 7200 IN A 160.217.129.230
dell-mraz-JAIP.frov 7200 IN MX 10 dell-mraz-JAIP.frov
dell-mraz-JAIP.frov 7200 IN A 160.217.202.95
dekanat-reserve49.zf 7200 IN A 160.217.162.49
wireless-client-160-217-132-146.wa1 7200 IN A 160.217.132.146
A417Koutny2.rek 7200 IN A 160.217.155.221
apps.tf 7200 IN CNAME aries.tf
AP2-frovzf-1NP.wx 7200 IN A 160.217.92.62
k2-903-lukesn00.k2 7200 IN A 160.217.219.76
fprcs20910.prf 7200 IN A 160.217.211.30
k3-404-vakero00.k3 7200 IN A 160.217.222.7
KolejK5-160-217-231-157.k5 7200 IN A 160.217.231.157
wireless-client-160-217-151-236.wa2 7200 IN A 160.217.151.236
